Year,Country Name,Country Code,AG.LND.AGRI.K2,AG.LND.TOTL.K2,AG.SRF.TOTL.K2,EG.ELC.COAL.ZS,EG.ELC.FOSL.ZS,EG.ELC.HYRO.ZS,EG.ELC.NGAS.ZS,EG.ELC.NUCL.ZS,EG.ELC.PETR.ZS,EG.ELC.RNEW.ZS,EG.ELC.RNWX.KH,EG.ELC.RNWX.ZS,EG.FEC.RNEW.ZS,EG.GDP.PUSE.KO.PP,EG.USE.COMM.CL.ZS,EG.USE.COMM.FO.ZS,EG.USE.ELEC.KH.PC,EN.ATM.CO2E.GF.KT,EN.ATM.CO2E.GF.ZS,EN.ATM.CO2E.KT,EN.ATM.CO2E.LF.KT,EN.ATM.CO2E.LF.ZS,EN.ATM.CO2E.PC,EN.ATM.CO2E.PP.GD,EN.ATM.CO2E.SF.KT,EN.ATM.CO2E.SF.ZS,EN.CO2.BLDG.ZS,EN.CO2.ETOT.ZS,EN.CO2.MANF.ZS,EN.CO2.OTHX.ZS,EN.CO2.TRAN.ZS,EN.POP.DNST,NY.GDP.TOTL.RT.ZS,SP.RUR.TOTL,SP.URB.TOTL
2007,Belgium,BEL,13669,30280,30530,9.515812083,39.44794809,0.444429211,29.00329038,55.09893977,0.928845627,3.982725528,3097000000,3.538296317,3.329081249,6.885292238,22.39314979,72.66654993,8614.679503,34304.785,33.09395783,103658.756,48529.078,46.81618792,9.755475498,0.265480028,16046.792,15.48040187,22.39823541,29.38640465,20.87427311,2.145578504,25.19550832,350.9147952,0.019097351,265111,10360589
2007,Benin,BEN,33500,112760,114760,0,98.63636364,0,0,0,98.63636364,1.363636364,3000000,1.363636364,54.48609571,5.955502909,0,39.66925034,79.718096,0,0,4495.742,3722.005,82.78955954,0.531738861,0.235439793,0,0,28.23218997,3.957783641,3.430079156,0,64.11609499,74.98042746,3.631712452,4941150,3513643
2007,Bolivia,BOL,373900,1083300,1098580,0,58.30136031,40.44297175,56.53993722,0,1.76142309,41.69863969,72000000,1.255667946,21.52959584,8.257096059,3.250371281,82.04786586,538.6862855,4140.043,33.57121618,12332.121,7176.319,58.1920904,1.290181483,0.281965973,0,0,10.9360519,26.13531047,11.67747915,10.28730306,40.96385542,8.823445952,14.77217275,3337616,6220823
2007,Bosnia and Herzegovina,BIH,21490,51200,51210,64.7233537,66.04718262,33.95281738,0,0,1.323828921,33.95281738,0,0,14.84060655,5.807663911,4.2686398,91.07144944,2382.543148,770.07,4.362276693,17652.938,3545.989,20.08724553,4.691454151,0.573066423,12698.821,71.93601994,0.705754615,67.752443,6.568946797,8.414766558,16.55808903,73.49191406,2.122046419,2084546,1678240
2007,Botswana,BWA,257840,566730,581730,99.27536232,100,0,0,0,0.724637681,0,0,0,27.66677971,12.02404606,0,66.00371814,1535.090876,0,0,4231.718,2295.542,54.24610052,2.256363909,0.176545568,1936.176,45.75389948,4.166666667,25,28.00925926,3.009259259,39.81481481,3.309263671,7.161354657,789043,1086416
2007,Brazil,BRA,2296718,8358140,8515770,2.268464125,8.744751734,84.0205595,3.481097256,2.774364423,2.995190353,88.21467965,18670000000,4.194120145,47.41762519,10.13389051,13.56258237,52.66064026,2167.606584,40579.022,11.17224808,363212.683,240217.836,66.13696251,1.910334175,0.152218736,55346.031,15.23791255,6.021720665,17.42506977,27.49362941,4.881082393,44.18153137,22.7479371,4.112540315,31470391,158660052
2007,Brunei Darussalam,BRN,114,5270,5770,0,100,0,99.02798233,0,0.972017673,0,0,0,0,9.412759977,0,100,8614.137319,5944.207,70.63180828,8415.765,1848.168,21.96078431,22.44413479,0.277042176,0,0,1.608187135,54.97076023,27.04678363,0,16.52046784,71.15085389,27.48601824,97896,277069
2007,Bulgaria,BGR,51160,108610,111000,52.31618418,59.07958171,6.693527727,5.440529147,34.1034539,1.322868389,6.802990428,47000000,0.109462701,8.870486173,4.79943975,20.02478143,77.72065833,4523.322878,6893.96,13.19298246,52254.75,12750.159,24.4,6.925435282,0.541225477,30406.764,58.18947368,2.608354579,63.79682291,16.53265346,1.470876642,15.59129241,69.47185342,1.707307924,2167172,5378166
2007,Cambodia,KHM,53550,176520,181040,0,95.44235925,3.351206434,0,0,95.44235925,4.557640751,18000000,1.206434316,69.36572502,8.494230759,0.114241618,32.96813121,100.5850747,0,0,3465.315,3421.311,98.73015873,0.253313204,0.117295093,0,0,6.963788301,33.70473538,4.178272981,0,55.43175487,77.4980852,2.24551946,11024271,2655691
2007,Cameroon,CMR,92130,472710,475440,0,25.17642571,73.37402251,9.193209994,0,15.98321572,74.82357429,76000000,1.449551783,80.71356365,7.570042358,4.19734414,28.88515826,253.7601943,685.729,11.75361408,5834.197,4576.416,78.44123193,0.311484739,0.121566238,0,0,9.223300971,32.2815534,7.038834951,2.11E-16,51.69902913,39.62319816,9.831306432,9412716,9317566
2007,Canada,CAN,600080,8965590,9879750,16.10280444,24.82123285,58.47559142,6.73166712,14.87120015,1.986761288,60.29627226,11445000000,1.820680834,22.12619174,4.803376546,18.73280273,74.73558379,16683.13366,181153.467,31.67867953,571846.648,265058.094,46.3512543,17.38715721,0.44071672,114505.742,20.02385472,14.98453905,38.74406731,13.42406156,2.462965626,30.38436646,3.66836148,3.657038005,6447564,26441461
2007,Chile,CHL,157320,743532,756096,22.66147088,55.84440001,39.53237963,7.913312482,0,25.26961664,44.15559999,2705000000,4.623220359,30.46310654,9.145364632,5.890076615,76.0264465,3339.464537,8771.464,12.24406224,71638.512,47263.963,65.97563473,4.333797151,0.255804457,13017.85,18.17158067,7.104345068,41.80145893,19.02949572,0.634316524,31.41452585,22.23198867,17.04142723,2165456,14364739
